awardtitle,awardeffectivedate,awardexpirationdate,awardamount,awardinstrument,minamdletterdate,maxamdletterdate,arraamount,awardid,programofficer,organizationcode,organizationdirectorate,organizationdivision,institutionname,institutioncityname,institutionzipcode,institutionphonenumber,institutionstreetaddress,institutioncountryname,institutionstatename,institutionstatecode
Occupational Employment Statistics Survey,10/06/2015,10/31/2016,329000,Contract Interagency Agreement,11/17/2015,11/17/2015,,1600630,amy burke,04030007,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Department of Labor Bureau of Labor Statistics,Washington,20212,None,None,United States,District of Columbia,DC
Reconstruction of climate at the Norse Settlements of Greenland over the last two millennia using organic biomarkers in lake sediments,05/01/2016,04/30/2018,348218,Standard Grant,04/04/2016,04/04/2016,,1602973,"William J. Wiseman, Jr.",06090100,Directorate For Geosciences,Directorate For Geosciences,University of Massachusetts Amherst,AMHERST,010039242,4135450698,Research Administration Building,United States,Massachusetts,MA
DISSERTATION RESEARCH: Using Covariance to Test Hypotheses about the Function and Underlying Genetic Control of Multi-component Signals,05/01/2016,04/30/2018,19469,Standard Grant,03/28/2016,03/28/2016,,1601335,Jodie Jawor,08090500,Direct For Biological Sciences,Direct For Biological Sciences,University of Kansas Center for Research Inc,LAWRENCE,660457568,7858643441,2385 IRVING HILL RD,United States,Kansas,KS
Shaping an Infrastructure for the Partnership of Informal Science Education and Higher Education,11/16/2015,08/31/2016,202023,Continuing grant,12/16/2015,12/16/2015,,1613268,Alphonse T. DeSena,11090000,Direct For Education and Human Resources,Direct For Education and Human Resources,SUNY at Stony Brook,Stony Brook,117940001,6316329949,WEST 5510 FRK MEL LIB,United States,New York,NY
Interagency agreement to Fund NSF Director Europe Activities,10/16/2015,10/31/2016,10000,Contract Interagency Agreement,10/28/2015,10/28/2015,,1602453,Maija M Kukla,01090000,Office Of The Director,Office Of The Director,DEPARTMENT OF STATE,Washington,205220002,None,2201 C Street NW,United States,District of Columbia,DC
The Northeast Analysis Network,09/01/2016,08/31/2018,12554,Standard Grant,11/15/2015,11/15/2015,,1602736,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Syracuse University,SYRACUSE,132441200,3154432807,OFFICE OF SPONSORED PROGRAMS,United States,New York,NY
EARS: Collaborative Research: Crowdsourcing-Based Spectrum Etiquette Enforcement in Dynamic Spectrum Access,08/01/2015,12/31/2017,329279,Standard Grant,12/10/2015,12/10/2015,,1619728,Thyagarajan Nandagopal,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Arizona,Tucson,857194824,5206266000,888 N Euclid Ave,United States,Arizona,AZ
"DISSERTATION RESEARCH: Consequences of resource heterogeneity for immune defense, connectivity, and rabies dynamics in vampire bats",09/01/2016,08/31/2017,19499,Standard Grant,03/24/2016,03/24/2016,,1601052,Saran Twombly,08010208,Direct For Biological Sciences,Direct For Biological Sciences,University of Georgia Research Foundation Inc,ATHENS,306021589,7065425939,310 East Campus Rd,United States,Georgia,GA
"Topological Recursion and Its Influence in Analysis, Geometry, and Topology",05/01/2016,04/30/2017,40000,Standard Grant,03/17/2016,03/17/2016,,1619760,Swatee Naik,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of California-Davis,Davis,956186134,5307547700,OR/Sponsored Programs,United States,California,CA
"U.S. Science International Collaborations and Contributions to EcoSummit 2016 ""Sustainability: Engineering Change""",03/01/2016,02/28/2018,50000,Standard Grant,02/22/2016,02/22/2016,,1619948,Bruce K. Hamilton,07020000,Directorate For Engineering,Directorate For Engineering,Florida Gulf Coast University,Fort MYERS,339656565,2395907022,10501 FGCU Blvd. South,United States,Florida,FL
Dualizing modules in algebra and geometry,12/01/2014,06/30/2017,92561,Standard Grant,10/26/2015,10/26/2015,,1606479,Joanna Kania-Bartoszynska,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Illinois at Urbana-Champaign,CHAMPAIGN,618207473,2173332187,SUITE A,United States,Illinois,IL
UNS Collaborative Research: Optimizing Microfilter Productivity During Water Treatment: Modeling and Experimental Verification,08/15/2015,07/31/2018,185415,Standard Grant,03/04/2016,03/04/2016,,1636104,William Cooper,07020000,Directorate For Engineering,Directorate For Engineering,Texas A&M Engineering Experiment Station,College Station,778454645,9798477635,TEES State Headquarters Bldg.,United States,Texas,TX
Utility Based Pricing and Hedging in Incomplete Markets with Stochastic Preferences in a Unifying Framework of Admissibility,09/15/2015,08/31/2018,115237,Standard Grant,10/22/2015,10/22/2015,,1600307,Michael H. Steuerwalt,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Connecticut,Storrs,062691133,8604863622,438 Whitney Road Ext.,United States,Connecticut,CT
"Structural Geology and Tectonics Forum at Sonoma State University, Rohnert Park, CA, August 1st - 3rd, 2016",05/01/2016,04/30/2017,16517,Standard Grant,03/04/2016,03/04/2016,,1632674,Stephen S. Harlan,06030000,Directorate For Geosciences,Directorate For Geosciences,Sonoma State University,Rohnert Park,949283609,7076644423,1801 East Cotati Avenue,United States,California,CA
2016 Colloidal Semiconductor Nanocrystals Gordon Research Conference,05/01/2016,10/31/2016,15000,Standard Grant,03/30/2016,03/30/2016,,1624027,Michael J. Scott,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Gordon Research Conferences,West Kingston,028921502,4017834011,512 Liberty Lane,United States,Rhode Island,RI
CPS: Synergy: Collaborative Research: Semantics of Optimization for Real Time Intelligent Embedded Systems (SORTIES),01/01/2016,12/31/2017,202291,Standard Grant,11/30/2015,11/30/2015,,1619729,David Corman,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Washington,Seattle,981950001,2065434043,4333 Brooklyn Ave NE,United States,Washington,WA
DISSERTATION RESEARCH: The Mechanisms and Evolution of Social Recognition in Rocket Frogs,05/01/2016,04/30/2017,19760,Standard Grant,03/24/2016,03/24/2016,,1601493,Emilia Martins,08090500,Direct For Biological Sciences,Direct For Biological Sciences,University of Minnesota-Twin Cities,Minneapolis,554552070,6126245599,200 OAK ST SE,United States,Minnesota,MN
Integrability and Geometry. Participation at XXXV Workshop on Geometric Methods in Physics and its summer school in Poland,05/01/2016,04/30/2017,47030,Standard Grant,02/04/2016,02/04/2016,,1609812,Shuguang Wang,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,SUNY College at New Paltz,New Paltz,125612443,8452573282,"Sponsored Programs, HAB 805",United States,New York,NY
GLOBE Partner and Diversity Training Workshops,02/15/2016,08/31/2016,232414,Standard Grant,02/19/2016,02/19/2016,,1623980,Jill L. Karsten,06010000,Directorate For Geosciences,Directorate For Geosciences,University Corporation For Atmospheric Res,Boulder,803012252,3034971000,3090 Center Green Drive,United States,Colorado,CO
"Doctoral Dissertation Improvement Award: The Relationship Among Environment, Culture And Agricultural Intensification",05/01/2016,04/30/2017,18995,Standard Grant,03/15/2016,03/15/2016,,1614330,John E. Yellen,04040000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Washington University,SAINT LOUIS,631304899,3147474134,CAMPUS BOX 1054,United States,Missouri,MO
Workshop on Experiment and Theory of the Electronic Structure of Correlated Electron Materials,03/15/2016,08/31/2016,25000,Standard Grant,02/12/2016,02/12/2016,,1608033,Paul Sokol,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Temple University,PHILADELPHIA,191405104,2157077379,3340 N. Broad Street,United States,Pennsylvania,PA
"1,2,3-Triazoles as Crucial Ligands in Metal Catalysis",09/14/2015,07/31/2017,300177,Standard Grant,12/16/2015,12/16/2015,,1619590,Richard Johnson,03090000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of South Florida,Tampa,336129446,8139742897,3702 Spectrum Blvd.,United States,Florida,FL
Maryland Dynamics Conference,03/01/2016,02/28/2019,16500,Continuing grant,11/24/2015,11/24/2015,,1602546,Bruce Kitchens,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Maryland College Park,COLLEGE PARK,207425141,3014056269,3112 LEE BLDG 7809 Regents Drive,United States,Maryland,MD
EAGER: Towards a Paleoproxy of Stratospheric Chemistry Using Meteorite Fusion Crusts,10/01/2015,10/31/2016,57716,Standard Grant,11/18/2015,11/18/2015,,1612532,David J. Verardo,06020108,Directorate For Geosciences,Directorate For Geosciences,Washington University,SAINT LOUIS,631304899,3147474134,CAMPUS BOX 1054,United States,Missouri,MO
IEEE PerCom 2016 Student Travel Support Request,03/01/2016,02/28/2017,20000,Standard Grant,03/01/2016,03/01/2016,,1623924,Gurdip Singh,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Missouri University of Science and Technology,Rolla,654096506,5733414134,300 W 12th Street,United States,Missouri,MO
TWC: Small: Collaborative: Computation and Access Control on Big Multiuser Data,01/01/2016,07/31/2017,183414,Standard Grant,02/23/2016,02/23/2016,,1633282,Nina Amla,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Yale University,New Haven,065208327,2037854689,Office of Sponsored Projects,United States,Connecticut,CT
Graduate Research Fellowship Program (GRFP),12/01/2015,11/30/2020,161000,Fellowship,11/13/2015,11/13/2015,,1610348,Gisele T. Muller-Parker,11010101,Direct For Education and Human Resources,Direct For Education and Human Resources,Florida International University,Miami,331990001,3053482494,11200 SW 8TH ST,United States,Florida,FL
Nanowire Interfaces for Composites with High Strength Across Strain Rates,09/01/2015,07/31/2016,270289,Standard Grant,12/18/2015,12/18/2015,,1621135,Thomas F. Kuech,07030000,Directorate For Engineering,Directorate For Engineering,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
Seismic imaging of the interplate boundary and deformation within the overriding Aegean lithosphere at the Hellenic subduction zone west of Crete (Greece),01/01/2016,12/31/2016,30000,Standard Grant,01/04/2016,01/04/2016,,1607104,Candace O. Major,06040200,Directorate For Geosciences,Directorate For Geosciences,Columbia University,NEW YORK,100276902,2128546851,2960 Broadway,United States,New York,NY
Printed and flexible photovoltaics from aqueous solutions with integrated power electronics for energy harvesting,07/01/2016,06/30/2019,360000,Standard Grant,04/13/2016,04/13/2016,,1610899,Nadia El-Masry,07010000,Directorate For Engineering,Directorate For Engineering,University of California-Berkeley,BERKELEY,947045940,5106428109,Sponsored Projects Office,United States,California,CA
Student Travel Support for the 2nd Career Workshop for Women and Minorities in Computer Architecture,12/01/2015,11/30/2016,22500,Standard Grant,11/18/2015,11/18/2015,,1613316,Sankar Basu,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Virginia Main Campus,CHARLOTTESVILLE,229044195,4349244270,P.O. BOX 400195,United States,Virginia,VA
8th International Workshop on Science Gateways (IWSG 2016),05/01/2016,04/30/2017,24863,Standard Grant,03/08/2016,03/08/2016,,1632929,Rajiv Ramnath,05090000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Notre Dame,NOTRE DAME,465565708,5746317432,940 Grace Hall,United States,Indiana,IN
Combinatorics of Cluster Varieties,07/01/2016,06/30/2019,97517,Continuing grant,03/25/2016,03/25/2016,,1600223,Jacques Verstraete,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
I-Corps: Ultrasound Guided Oxygen Release with Nanobubbles for Diagnosis and Treatment,02/01/2016,07/31/2016,50000,Standard Grant,01/28/2016,01/28/2016,,1623907,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Purdue University,West Lafayette,479072114,7654941055,Young Hall,United States,Indiana,IN
"Workshop on the Algorithmic, Mathematical, and Statistical Foundations of Data Science",04/01/2016,03/31/2017,99998,Standard Grant,03/23/2016,03/23/2016,,1637436,Nandini Kannan,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Georgia Tech Research Corporation,Atlanta,303320420,4048944819,Office of Sponsored Programs,United States,Georgia,GA
Student Support RECOMB 2016,02/01/2016,01/31/2017,15000,Standard Grant,12/08/2015,12/08/2015,,1602100,Mitra Basu,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Princeton University,Princeton,085442020,6092583090,Off. of Research & Proj. Admin.,United States,New Jersey,NJ
Collaborative Research: Arbor: Comparative Analysis Workflows for the Tree of Life,01/01/2016,12/31/2016,145146,Standard Grant,12/18/2015,12/18/2015,,1622398,Simon Malcomber,08010206,Direct For Biological Sciences,Direct For Biological Sciences,SUNY at Stony Brook,Stony Brook,117940001,6316329949,WEST 5510 FRK MEL LIB,United States,New York,NY
Coupled-physics imaging methods and geodesic X-ray transforms,09/01/2015,06/30/2018,12513,Continuing grant,02/26/2016,02/26/2016,,1634544,Lora Billings,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
RAPID: The Mechanisms Driving Extreme Precipitation in Atmospheric Rivers with an Integrated Stable Isotope and Aerosol Chemistry Approach,03/15/2016,02/28/2017,109982,Standard Grant,03/10/2016,03/10/2016,,1632913,Nicholas F. Anderson,06020105,Directorate For Geosciences,Directorate For Geosciences,Santa Clara University,Santa Clara,950530250,4085544764,500 El Camino Real,United States,California,CA
"Conference: 2016 Biointerface Science: Active, Adaptive, and Responsive Biointerfaces GRC & GRS",04/15/2016,03/31/2017,15000,Standard Grant,04/08/2016,04/08/2016,,1608489,Aleksandr Simonian,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Gordon Research Conferences,West Kingston,028921502,4017834011,512 Liberty Lane,United States,Rhode Island,RI
EAGER Germination: A Seed-Funding and Analytics Platform for High-Risk/High-Impact Research,04/15/2016,03/31/2017,100000,Standard Grant,03/30/2016,03/30/2016,,1629586,Garie A. Fordyce,07040000,Directorate For Engineering,Directorate For Engineering,University of Chicago,Chicago,606375418,7737028669,5801 South Ellis Avenue,United States,Illinois,IL
I-Corps: Portable Autonomous Biomarker Sampling Technology (PABST),12/01/2015,05/31/2016,50000,Standard Grant,12/02/2015,12/02/2015,,1608747,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of South Florida,Tampa,336129446,8139742897,3702 Spectrum Blvd.,United States,Florida,FL
I-Corps: Virtual 3D reconstruction of hollow organs from white light endoscopy,11/01/2015,04/30/2016,50000,Standard Grant,10/27/2015,10/27/2015,,1602118,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Stanford University,Palo Alto,943041212,6507232300,3160 Porter Drive,United States,California,CA
"Meeting: Undergraduates Phenotyping Arabidopsis Knockouts (unPAK) Student Meeting, Austin, TX, June 15-17, 2016",03/01/2016,02/28/2017,32030,Standard Grant,02/01/2016,02/01/2016,,1620512,Irwin Forseth,08090300,Direct For Biological Sciences,Direct For Biological Sciences,Hampden-Sydney College,Hampden Sydney,239430127,4342236000,1 College Rd.,United States,Virginia,VA
I-Corps: Microbial Biopanels for High-Throughput Screening to Facilitate Drug Discovery,04/15/2016,09/30/2016,50000,Standard Grant,04/04/2016,04/04/2016,,1637032,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Middle Tennessee State University,Murfreesboro,371320001,6154947848,1301 E. Main,United States,Tennessee,TN
DISSERTATION RESEARCH: Phylogenomics and Biogeography of Early-diverging Laniatores (Opiliones) using Ultraconserved Elements,06/01/2016,05/31/2017,19500,Standard Grant,03/29/2016,03/29/2016,,1601208,David Mindell,08010206,Direct For Biological Sciences,Direct For Biological Sciences,San Diego State University Foundation,San Diego,921822190,6195945731,5250 Campanile Drive,United States,California,CA
DISSERTATION RESEARCH: Estimating the genetic and demographic response of an amphibian metapopulation to global climate change,07/01/2016,06/30/2018,18946,Standard Grant,04/04/2016,04/04/2016,,1601470,Paco Moore,08010207,Direct For Biological Sciences,Direct For Biological Sciences,University of Kentucky Research Foundation,Lexington,405260001,8592579420,109 Kinkead Hall,United States,Kentucky,KY
"A Scientific Planning Workshop for Coordinating Brain Research Around the Globe, Baltimore, Maryland, April 7-8, 2016",04/15/2016,03/31/2017,97950,Standard Grant,04/05/2016,04/05/2016,,1637376,Sridhar Raghavachari,08090200,Direct For Biological Sciences,Direct For Biological Sciences,Johns Hopkins University,Baltimore,212182608,4105168668,3400 N CHARLES ST,United States,Maryland,MD
EAGER: The Performance Evaluation of Intra-domain Bandwidth Allocation and Inter-domain Routing Algorithms for a QoS-guaranteed Routing Path Discovery,08/07/2015,08/31/2016,40578,Standard Grant,02/22/2016,02/22/2016,,1633978,John Brassil,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of South Florida,Tampa,336129446,8139742897,3702 Spectrum Blvd.,United States,Florida,FL
GREPSEC III: Underrepresented Groups in Security Research,02/01/2016,01/31/2018,50000,Standard Grant,01/27/2016,01/27/2016,,1622482,Nina Amla,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Southern California,Los Angeles,900890001,2137407762,University Park,United States,California,CA
Towards a Unifying Pan-Arctic Perspective: Concepts and Theories,05/01/2016,04/30/2017,30816,Standard Grant,04/11/2016,04/11/2016,,1638481,Neil R. Swanberg,06090100,Directorate For Geosciences,Directorate For Geosciences,University of Maryland Center for Environmental Sciences,Cambridge,216130775,4102212014,BOX 775,United States,Maryland,MD
PostDoctoral Research Fellowship,06/01/2016,05/31/2020,150000,Fellowship,03/24/2016,03/24/2016,,1606435,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Bottman Nathaniel S,Boston,02115,None,None,United States,Massachusetts,MA
International Topology of Manifolds Conference,06/01/2016,05/31/2017,33810,Standard Grant,02/09/2016,02/09/2016,,1619698,Shuguang Wang,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Stanford University,Palo Alto,943041212,6507232300,3160 Porter Drive,United States,California,CA
Spectral Theory of Periodic and Quasiperiodic Quantum Systems,07/01/2016,06/30/2019,67974,Continuing grant,04/01/2016,04/01/2016,,1600422,Edward Taylor,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of California-Irvine,Irvine,926173067,9498244768,"5171 California Avenue, Ste 150",United States,California,CA
RAPID- The implications of El Nino-related bleaching on coral recruitment in Moorea,01/15/2016,12/31/2016,89385,Standard Grant,01/14/2016,01/14/2016,,1619893,David L. Garrison,06040300,Directorate For Geosciences,Directorate For Geosciences,"The University Corporation, Northridge",Northridge,913308309,8186772901,18111 Nordhoff Street,United States,California,CA
DISSERTATION RESEARCH: Hypoxia-induced trade-offs on zooplankton vertical distribution and community structure in freshwaters,06/01/2016,05/31/2018,20880,Standard Grant,03/11/2016,03/11/2016,,1601061,Alan Wilson,08010208,Direct For Biological Sciences,Direct For Biological Sciences,Virginia Polytechnic Institute and State University,BLACKSBURG,240610001,5402315281,Sponsored Programs 0170,United States,Virginia,VA
PFI:AIR - TT: Wireless implantable pressure sensor for continuous monitoring of chronic disorders,05/01/2016,10/31/2017,200000,Standard Grant,04/06/2016,04/06/2016,,1601340,Barbara H. Kenny,07070000,Directorate For Engineering,Directorate For Engineering,University of Southern California,Los Angeles,900890001,2137407762,University Park,United States,California,CA
Collaborative Research: Experimental and Computational Investigation of Multiphase Consolidation for Partially Saturated Soils,10/01/2015,08/31/2017,182689,Standard Grant,01/13/2016,01/13/2016,,1622781,Richard J. Fragaszy,07030000,Directorate For Engineering,Directorate For Engineering,Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
Transmission electron microscopy of conjugated polymers using energy-filtering and phase contrast enhancement,06/01/2016,05/31/2019,135000,Continuing grant,03/04/2016,03/04/2016,,1609417,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
"DISSERTATION RESEARCH: How do plant genetics, soil microbes and the environment determine plant and soil function across global change gradients?",07/01/2016,06/30/2018,19630,Standard Grant,03/11/2016,03/11/2016,,1601479,Maria Gonzalez,08010208,Direct For Biological Sciences,Direct For Biological Sciences,University of Tennessee Knoxville,KNOXVILLE,379960003,8659743466,1 CIRCLE PARK,United States,Tennessee,TN
Student Travel Support for SAT/SMT/AR Summer School at IJCAR 2016,05/01/2016,04/30/2017,30000,Standard Grant,04/01/2016,04/01/2016,,1636493,Nina Amla,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Yale University,New Haven,065208327,2037854689,Office of Sponsored Projects,United States,Connecticut,CT
Atomic Engineering of Conjugated Polymers for High Performance Photovoltaic Cells.,01/01/2016,04/30/2017,200592,Continuing grant,04/07/2016,04/07/2016,,1640297,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Trustees of Boston University,BOSTON,022151300,6173534365,881 COMMONWEALTH AVE,United States,Massachusetts,MA
I-Corps: Real-time In-situ Subsurface Imaging,03/15/2016,08/31/2016,50000,Standard Grant,03/07/2016,03/07/2016,,1634330,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,"Georgia State University Research Foundation, Inc.",Atlanta,303023999,4044133500,G76Dahlberg Hall 30 Courtland St,United States,Georgia,GA
"Workshop: Programming: Logics, Models, Algorithms and Concurrency",04/15/2016,03/31/2017,15000,Standard Grant,04/11/2016,04/11/2016,,1636774,Nina Amla,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Texas at Austin,Austin,787121532,5124716424,"101 E. 27th Street, Suite 5.300",United States,Texas,TX
MOLECULAR INSIGHTS INTO PHYTOCHROME PHOTOACTIVATION AND SIGNALING,10/01/2015,08/31/2017,271877,Continuing grant,01/14/2016,01/14/2016,,1623935,Engin Serpersu,08070400,Direct For Biological Sciences,Direct For Biological Sciences,Washington University,SAINT LOUIS,631304899,3147474134,CAMPUS BOX 1054,United States,Missouri,MO
CAREER: An Integrative and Scalable Approach to Embedded Hardware Protection,09/01/2015,06/30/2016,168635,Standard Grant,11/19/2015,11/19/2015,,1603475,Nina Amla,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Florida,GAINESVILLE,326112002,3523923516,1 UNIVERSITY OF FLORIDA,United States,Florida,FL
EAGER: Heritable Gene Editing in Maize using Transient Expression of the CRISPR-Cas9 Endonuclease System,04/01/2016,03/31/2018,285728,Standard Grant,03/21/2016,03/21/2016,,1623478,Timothy Nelson,08090000,Direct For Biological Sciences,Direct For Biological Sciences,University of Florida,GAINESVILLE,326112002,3523923516,1 UNIVERSITY OF FLORIDA,United States,Florida,FL
Consortium for Materials Properties Research in Earth Sciences (COMPRES): National Facilities and Infrastructure Development for High-Pressure Geosciences Research,11/16/2015,05/31/2017,2615924,Cooperative Agreement,11/09/2015,11/12/2015,,1606856,David Lambert,06030200,Directorate For Geosciences,Directorate For Geosciences,University of New Mexico,ALBUQUERQUE,871310001,5052774186,"1700 Lomas Blvd. NE, Suite 2200",United States,New Mexico,NM
I-Corps Teams: Wireless Sensor Network Based Localization and Navigation for Precision Agriculture,04/15/2016,09/30/2016,50000,Standard Grant,04/07/2016,04/07/2016,,1638927,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Toledo,TOLEDO,436063390,4195302844,"2801 W Bancroft St., MS 944",United States,Ohio,OH
"RAPID: How does nutrient availability alter coral bleaching, mortality, and recovery on Moorea coral reefs?",03/01/2016,02/28/2017,199988,Standard Grant,03/07/2016,03/07/2016,,1619697,David L. Garrison,06040300,Directorate For Geosciences,Directorate For Geosciences,University of California-Santa Barbara,SANTA BARBARA,931062050,8058934188,Office of Research,United States,California,CA
"CAREER: Investigating the Relationship Between Mantle Shear Localization, Melt Flow and Water Content",10/01/2015,05/31/2018,160829,Continuing grant,02/24/2016,02/24/2016,,1625032,David Fountain,06030000,Directorate For Geosciences,Directorate For Geosciences,University of Delaware,Newark,197162553,3028312136,210 Hullihen Hall,United States,Delaware,DE
Pervasive Healthcare Doctoral Consortium 2016,03/01/2016,02/28/2017,22215,Standard Grant,03/01/2016,03/01/2016,,1621808,Wendy Nilsen,05020000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Indiana University,Bloomington,474013654,8128550516,509 E 3RD ST,United States,Indiana,IN
I-Corps: Commercialization of Novel CO2 Measurement Technologies,01/01/2016,06/30/2016,50000,Standard Grant,12/21/2015,12/21/2015,,1620072,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of South Florida,Tampa,336129446,8139742897,3702 Spectrum Blvd.,United States,Florida,FL
I-Corps: FogKicker: An Anti-Fogging Coating Based on Sustainable Materials,03/15/2016,08/31/2016,50000,Standard Grant,03/07/2016,03/07/2016,,1628256,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Massachusetts Amherst,AMHERST,010039242,4135450698,Research Administration Building,United States,Massachusetts,MA
DISSERTATION RESEARCH: Mutant models reveal latent developmental potential with roles in evolutionary change,07/01/2016,06/30/2017,18867,Standard Grant,04/01/2016,04/01/2016,,1600920,Janice Bossart,08010207,Direct For Biological Sciences,Direct For Biological Sciences,Harvard University,Cambridge,021385366,6174955501,1033 MASSACHUSETTS AVE,United States,Massachusetts,MA
Composite Methodologies Towards Quantitative Predictions across the Periodic Table,02/10/2016,08/31/2016,56700,Standard Grant,02/26/2016,03/03/2016,,1636555,Diana Farkas,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Michigan State University,East Lansing,488242600,5173555040,Office of Sponsored Programs,United States,Michigan,MI
Catalytic Deoxydehydration of Biomass-Derived Polyols to Olefins,09/01/2015,07/31/2016,185992,Standard Grant,02/08/2016,02/08/2016,,1630100,Robert McCabe,07020000,Directorate For Engineering,Directorate For Engineering,University of Massachusetts Amherst,AMHERST,010039242,4135450698,Research Administration Building,United States,Massachusetts,MA
Electronic Transport in Nanostructured and Amorphous Semiconductor Thin Films,07/01/2016,06/30/2019,222242,Standard Grant,03/25/2016,03/25/2016,,1608937,Tania Paskova,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Minnesota-Twin Cities,Minneapolis,554552070,6126245599,200 OAK ST SE,United States,Minnesota,MN
NSF-RAPID: Rapid Response for the M5.1 Fairview Earthquake - Detailed Understanding of the Fault Systems in Western Oklahoma,03/15/2016,02/28/2017,14500,Standard Grant,03/14/2016,03/14/2016,,1636715,Luciana Astiz,06030000,Directorate For Geosciences,Directorate For Geosciences,University of Oklahoma Norman Campus,NORMAN,730199705,4053254757,201 Stephenson Parkway,United States,Oklahoma,OK
I-Corps: Araknitek - Synthetic Spider Silk Adhesives,02/15/2016,07/31/2017,50000,Standard Grant,02/16/2016,02/16/2016,,1628245,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Utah State University,Logan,843221415,4357971226,Sponsored Programs Office,United States,Utah,UT
"Photochromic Compounds and Materials: Photodiffraction, Dynamics, and Photomechanical Effects",06/01/2015,05/31/2018,360000,Standard Grant,12/09/2015,12/09/2015,,1602240,Tingyu Li,03090000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of New Mexico,ALBUQUERQUE,871310001,5052774186,"1700 Lomas Blvd. NE, Suite 2200",United States,New Mexico,NM
