awardtitle,awardeffectivedate,awardexpirationdate,awardamount,awardinstrument,minamdletterdate,maxamdletterdate,arraamount,awardid,programofficer,organizationcode,organizationdirectorate,organizationdivision,institutionname,institutioncityname,institutionzipcode,institutionphonenumber,institutionstreetaddress,institutioncountryname,institutionstatename,institutionstatecode
Workshop: Work Climate in Organizations,03/15/2016,12/31/2016,45407,Standard Grant,03/10/2016,03/10/2016,,1625073,mo wang,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
eOPF via OPM Interagency Agreement,01/15/2016,01/31/2017,23573,Contract Interagency Agreement,01/20/2016,01/20/2016,,1614319,Jeffrey Cunningham,02040003,Office Of Information & Resource Mgmt,Office Of Information & Resource Mgmt,"PERSONNEL MANAGEMENT, U S OFFICE OF",Washington,204150001,None,1900 E ST NW RM 5475,United States,District of Columbia,DC
Drying Versus Wettening of the East African Climate,12/15/2015,04/30/2017,120655,Standard Grant,03/03/2016,03/03/2016,,1623505,Eric T. DeWeaver,06020106,Directorate For Geosciences,Directorate For Geosciences,University of Maine,ORONO,044695717,2075811484,5717 Corbett Hall,United States,Maine,ME
Creating College-High School Partnerships to Assess the Prevalence of Antibiotic Resistant Microbes Across the Environment,10/01/2015,08/31/2017,275618,Standard Grant,04/05/2016,04/05/2016,,1640399,V. Celeste Carter,11040200,Direct For Education and Human Resources,Direct For Education and Human Resources,Tufts University,Medford,021555807,6176273417,20 Professors Row,United States,Massachusetts,MA
NSF Europe Reception 2016,01/15/2016,07/31/2016,2090,Contract Interagency Agreement,01/29/2016,01/29/2016,,1628620,Graham M. Harrison,01090000,Office Of The Director,Office Of The Director,DEPARTMENT OF STATE,Washington,205220002,None,2201 C Street NW,United States,District of Columbia,DC
Synthesis and Directed Assembly of Bio-Hybrid Materials with Membrane-Protein-Mediated Transport Performance,09/01/2015,07/31/2017,398321,Standard Grant,01/04/2016,01/04/2016,,1623241,Joseph A. Akkara,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Texas Tech University Health Science Center,Lubbock,794306271,8067432961,"3601 4th Street, MS 6271",United States,Texas,TX
Dissertation Research: Within-host seasonal drivers of pathogen dynamics in a fruit bat reservoir,06/01/2016,05/31/2017,16301,Standard Grant,03/24/2016,03/24/2016,,1600980,Saran Twombly,08010208,Direct For Biological Sciences,Direct For Biological Sciences,Princeton University,Princeton,085442020,6092583090,Off. of Research & Proj. Admin.,United States,New Jersey,NJ
"RAPID: Microbiome Analysis of Household Biofilm Specimens in Flint, Michigan",04/15/2016,03/31/2017,45012,Standard Grant,04/08/2016,04/08/2016,,1639066,William Cooper,07020000,Directorate For Engineering,Directorate For Engineering,Wayne State University,Detroit,482023622,3135772424,5057 Woodward,United States,Michigan,MI
CAREER: Modeling and Optimization of Next Generation Feedstock Development for Chemical Process Industry,01/01/2016,01/31/2017,96308,Continuing grant,01/21/2016,01/21/2016,,1623417,triantafillos mountziaris,07020000,Directorate For Engineering,Directorate For Engineering,Auburn University,Auburn University,368490001,3348444438,310 Samford Hall,United States,Alabama,AL
Perspectives on integral geometry,01/15/2016,12/31/2016,38000,Standard Grant,02/25/2016,02/25/2016,,1632753,Shuguang Wang,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Georgia,Athens,306021589,7065425939,310 East Campus Rd,United States,Georgia,GA
